origen,txid,id_esperado,recuperado,id_coincide,bloque,t_verificacion_s,nota
e8_mainnet_franja1_tarde,191b4ff521d9c52b20158a580f281d123a279efeda966b0eb25e78cd4f51fb47,LCD-D73B846D0A90,True,True,13686821,1.291,
e8_mainnet_franja1_tarde,ce39381098838af08a184127116a58d0f58f83d7922b3013da0401fd0b750861,LCD-5755A2F2CA77,True,True,13686822,0.334,
e8_mainnet_franja1_tarde,0c8ad7ceb8fa09312125204e1be604c4b4ec4b0c3ef9e94b392db2448cace0e7,LCD-9282FA22301E,True,True,13686825,0.231,
e8_mainnet_franja1_tarde,88c4805220465cef5f578489cb8d70029ae89680c18627d5bc2cd9e46b5cb77d,LCD-C7DFDAE3489C,True,True,13686828,0.314,
e8_mainnet_franja1_tarde,80e26b62cac4b989f6d850df50b8553cda05349bd8a62816b050a30d2d5cfcb2,LCD-92548780778F,True,True,13686833,0.249,
e8_mainnet_franja1_tarde,0f3bc4439869a02a3677ed2ae9b5861013aad4cf6a6371306606da80a1fa12b4,LCD-230730DAC72C,True,True,13686840,0.274,
e8_mainnet_franja1_tarde,874169284b895864bf892a13b76c7517aa69a4baa6e3bb578dd5a1aeb7a9387e,LCD-D37E1C5E7FB0,True,True,13686844,0.239,
e8_mainnet_franja1_tarde,76bd2e78d282af50331937e2d6030a3f08c6ce99c2a8af80d5c409392b59122f,LCD-7B4482D33E9D,True,True,13686850,0.289,
e8_mainnet_franja1_tarde,a5b6125e5c0b17c33d031879ff963c0cf7619539c989ad49240947605dbcbd57,LCD-03CF3A037742,True,True,13686856,0.238,
e8_mainnet_franja1_tarde,f5a20c723e9a9a20c5b7588c4be3918862d727f84806d8b052d017cd0addd174,LCD-E2186613012E,True,True,13686861,0.284,
e8_mainnet_franja2_noche,d91baa8611e0b355ac13d4582938808de1e2b7ae7ad81b8948d1c1dac9671bfa,LCD-A7D86D2F2EB0,True,True,13687723,0.233,
e8_mainnet_franja2_noche,bd410eea42b30218ffb69c5733a75bdd0316c5cfe9e8109a359c6852db4f2a4f,LCD-698EBF3AABC3,True,True,13687729,0.279,
e8_mainnet_franja2_noche,da23693e98734133b535a163abb03183a579809bd0082db56b40bb23019e0233,LCD-A86453F72813,True,True,13687733,0.235,
e8_mainnet_franja2_noche,993804c1cb1639e5d7a209485ec02a740b86cc9d07a6fcdc2fee38de94c431fa,LCD-2320E7C2C3C5,True,True,13687736,0.299,
e8_mainnet_franja2_noche,d8250baa5701f3a5822e01abe825209ae1a04f5498810ed7d303c18a0c92d97b,LCD-2FD6B5D96F5E,True,True,13687741,0.231,
e8_mainnet_franja2_noche,c2f5511ee2c97a1b8ea20aaeb3859fca463c6fd94f65d4fc5db75b5e2f7f88f1,LCD-6FB2B356113B,True,True,13687745,0.283,
e8_mainnet_franja2_noche,ca8d73eb62fd4ca875cc786e7fe3198ffd0d291f73e051b3e6967e056efee5e4,LCD-32312EFBDF12,True,True,13687747,0.239,
e8_mainnet_franja2_noche,ff9d5d7abaecb229eb0f4c9a43b3225cdcdcd5038254e37c986d79194e4aaee7,LCD-9998D7067B41,True,True,13687752,0.302,
e8_mainnet_franja2_noche,078c21064b1cbbeb35f09d10b3f1848a132b76a8fc67e37bfd5f05e19ed5e0e9,LCD-16D5477DEA85,True,True,13687756,0.233,
e8_mainnet_franja2_noche,381469cc086365521923b9a6047ce3e1abf4865f25f8123631132a019283dab4,LCD-A1CBB9F6CF4E,True,True,13687760,0.28,
e8_mainnet_franja3_manana,36e1e8f35ea12e4d237d878bf4fcf9f8709714edc041807115121f42ea13b356,LCD-B25C41529409,True,True,13688882,0.407,
e8_mainnet_franja3_manana,34c089bf86b09b5dc13f15e690455e36507126a056ba23d38f1da36b26740fec,LCD-DAF032B1809E,True,True,13688885,0.237,
e8_mainnet_franja3_manana,a8fc6e6eaabe7dc9121b2449722ab37e5326e6167bc07adf696696e8eeeff5fe,LCD-C85C539548F7,True,True,13688891,0.289,
e8_mainnet_franja3_manana,f76f13d52d48e1347a51f18f9caa41efa5d68bb5bef1c4bdd4893a364f395654,LCD-8457DC52784B,True,True,13688897,0.241,
e8_mainnet_franja3_manana,251fc121698a51624152f9892251005b4cf782dfdf5a9cdb39614c617d6589bd,LCD-B86780DC9766,True,True,13688900,0.282,
e8_mainnet_franja3_manana,44f0e539aaf44b661319dde43d8b7de33b574467ea22bdf58fa4830387de76df,LCD-07D9AEDFBEB1,True,True,13688904,0.247,
e8_mainnet_franja3_manana,7448037b4cf643ec03a21be62ba85fee79740cc8bdb9e4358e37e9cdf1f9949e,LCD-750156F368C5,True,True,13688906,0.338,
e8_mainnet_franja3_manana,d543898c693685df4d535091e9249a73acb323b3371a4c8966693d7511279c02,LCD-8D3423003F0D,True,True,13688910,0.255,
e8_mainnet_franja3_manana,c2a6bf27c15c333acffbe218e297bc187cea77c2406c265562fd48142df65c02,LCD-6C0B090EBE72,True,True,13688913,0.328,
e8_mainnet_franja3_manana,2cddd3220f7ba67c22709a64b8e50da7aa8bee892fcc01de721601fb71ca8f4f,LCD-1540A5B88017,True,True,13688916,0.235,
e8_mainnet_lote,04c40e553041611bd58e3a8a5098ee43782f11982d1e2bc9d24159bc4145b512,,True,,13687796,0.289,sin id_registro en CSV (lote): solo recuperacion
